N_PROF,N_LEVELS,JULD,LATITUDE,LONGITUDE,PRES,TEMP,PSAL,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
0,21,25812.160428245323,2.098,164.882,46.0,28.898,35.274,46.09,28.898,35.27397
0,22,25812.160428245323,2.098,164.882,48.0,28.87,35.281,48.09,28.87,35.28097
0,23,25812.160428245323,2.098,164.882,50.0,28.826,35.288,50.09,28.826,35.287968
0,24,25812.160428245323,2.098,164.882,52.0,28.779,35.296,52.09,28.779,35.29597
0,25,25812.160428245323,2.098,164.882,54.0,28.722,35.311,54.09,28.722,35.310978
0,26,25812.160428245323,2.098,164.882,56.0,28.671,35.326,56.09,28.671,35.325977
0,27,25812.160428245323,2.098,164.882,58.0,28.638,35.323,58.09,28.638,35.322975
0,28,25812.160428245323,2.098,164.882,60.0,28.606,35.312,60.09,28.606,35.311974
0,29,25812.160428245323,2.098,164.882,62.0,28.584,35.304,62.09,28.584,35.303978
0,30,25812.160428245323,2.098,164.882,64.0,28.577,35.302,64.09,28.577,35.301964
0,31,25812.160428245323,2.098,164.882,66.0,28.575,35.302,66.09,28.575,35.30197
0,32,25812.160428245323,2.098,164.882,68.0,28.579,35.305,68.09,28.579,35.304985
0,33,25812.160428245323,2.098,164.882,70.0,28.583,35.308,70.09,28.583,35.30797
0,34,25812.160428245323,2.098,164.882,72.0,28.585,35.311,72.09,28.585,35.310974
0,35,25812.160428245323,2.098,164.882,74.0,28.585,35.312,74.09,28.585,35.311977
0,36,25812.160428245323,2.098,164.882,76.0,28.584,35.313,76.09,28.584,35.31297
0,37,25812.160428245323,2.098,164.882,78.0,28.582,35.313,78.09,28.582,35.31297
0,38,25812.160428245323,2.098,164.882,80.0,28.581,35.313,80.09,28.581,35.31296
0,39,25812.160428245323,2.098,164.882,82.0,28.58,35.313,82.09,28.58,35.31296
0,40,25812.160428245323,2.098,164.882,84.0,28.578,35.313,84.09,28.578,35.31296
0,41,25812.160428245323,2.098,164.882,86.0,28.576,35.313,86.09,28.576,35.312965
0,42,25812.160428245323,2.098,164.882,88.0,28.573,35.313,88.09,28.573,35.312965
0,43,25812.160428245323,2.098,164.882,90.0,28.568,35.312,90.09,28.568,35.311974
0,44,25812.160428245323,2.098,164.882,92.0,28.56,35.312,92.09,28.56,35.31198
0,45,25812.160428245323,2.098,164.882,94.0,28.535,35.312,94.09,28.535,35.311977
0,46,25812.160428245323,2.098,164.882,96.0,28.53,35.311,96.09,28.53,35.310966
0,47,25812.160428245323,2.098,164.882,98.0,28.526,35.31,98.09,28.526,35.309986
0,48,25812.160428245323,2.098,164.882,100.0,28.501,35.308,100.09,28.501,35.307972
0,49,25812.160428245323,2.098,164.882,102.0,28.439,35.298,102.09,28.439,35.297977
0,50,25812.160428245323,2.098,164.882,104.0,28.435,35.328,104.09,28.435,35.327965
0,51,25812.160428245323,2.098,164.882,106.0,28.45,35.345,106.09,28.45,35.344975
